corpus,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds
canterbury,fields.c,zlib_9,,11150,3115,0.27937219730941704,0.00048449996393173933
canterbury,fields.c,bzip2_9,,11150,3039,0.2725560538116592,0.00205479993019253
canterbury,fields.c,lzma_9,,11150,3028,0.2715695067264574,0.0372718001017347
canterbury,grammar.lsp,asbx_oracle,256,3721,3729,1.002149959688256,0.0325271999463439
canterbury,grammar.lsp,asbx_deterministic,256,3721,3729,1.002149959688256,0.004182999953627586
canterbury,grammar.lsp,asbx_fixed_raw,256,3721,3729,1.002149959688256,0.00017010001465678215
canterbury,grammar.lsp,asbx_fixed_zero,256,3721,3729,1.002149959688256,0.00010240008123219013
canterbury,grammar.lsp,asbx_fixed_zero_trim,256,3721,3729,1.002149959688256,0.0002546999603509903
canterbury,grammar.lsp,asbx_fixed_one_gaps,256,3721,3729,1.002149959688256,0.029835599940270185
canterbury,grammar.lsp,asbx_fixed_zero_gaps,256,3721,3729,1.002149959688256,0.039623199962079525
canterbury,grammar.lsp,zlib_9,,3721,1222,0.32840634238108035,0.0003353999927639961
canterbury,grammar.lsp,bzip2_9,,3721,1283,0.3447997850040312,0.0010516000911593437
canterbury,grammar.lsp,lzma_9,,3721,1292,0.347218489653319,0.06362509995233268
canterbury,kennedy.xls,asbx_oracle,256,1029744,1029753,1.0000087400363586,10.104482599999756
canterbury,kennedy.xls,asbx_deterministic,256,1029744,1029753,1.0000087400363586,1.1477306000888348
canterbury,kennedy.xls,asbx_fixed_raw,256,1029744,1029753,1.0000087400363586,0.03280000004451722
canterbury,kennedy.xls,asbx_fixed_zero,256,1029744,1029753,1.0000087400363586,0.022443800000473857
canterbury,kennedy.xls,asbx_fixed_zero_trim,256,1029744,1029753,1.0000087400363586,0.05379450006876141
canterbury,kennedy.xls,asbx_fixed_one_gaps,256,1029744,1029753,1.0000087400363586,4.321894799941219
canterbury,kennedy.xls,asbx_fixed_zero_gaps,256,1029744,1029753,1.0000087400363586,13.96803619991988
canterbury,kennedy.xls,zlib_9,,1029744,207029,0.20104899858605635,0.5360917000798509
canterbury,kennedy.xls,bzip2_9,,1029744,130280,0.1265168818657841,0.06675830006133765
canterbury,kennedy.xls,lzma_9,,1029744,49116,0.04769729175406703,0.6222363000269979
canterbury,lcet10.txt,asbx_oracle,256,426754,426763,1.0000210894332566,3.367057399940677
canterbury,lcet10.txt,asbx_deterministic,256,426754,426763,1.0000210894332566,0.4779833999928087
canterbury,lcet10.txt,asbx_fixed_raw,256,426754,426763,1.0000210894332566,0.019253000034950674
canterbury,lcet10.txt,asbx_fixed_zero,256,426754,426763,1.0000210894332566,0.011033999966457486
canterbury,lcet10.txt,asbx_fixed_zero_trim,256,426754,426763,1.0000210894332566,0.026804400025866926
canterbury,lcet10.txt,asbx_fixed_one_gaps,256,426754,426763,1.0000210894332566,3.767014399985783
canterbury,lcet10.txt,asbx_fixed_zero_gaps,256,426754,426763,1.0000210894332566,6.024408600060269
canterbury,lcet10.txt,zlib_9,,426754,144439,0.3384596277949357,0.050924899987876415
canterbury,lcet10.txt,bzip2_9,,426754,107706,0.25238427759318016,0.04778480005916208
canterbury,lcet10.txt,lzma_9,,426754,119500,0.2800208082408132,0.33175380004104227
canterbury,plrabn12.txt,asbx_oracle,256,481861,481870,1.0000186775854447,4.338770000031218
canterbury,plrabn12.txt,asbx_deterministic,256,481861,481870,1.0000186775854447,0.617964900098741
canterbury,plrabn12.txt,asbx_fixed_raw,256,481861,481870,1.0000186775854447,0.011669600033201277
canterbury,plrabn12.txt,asbx_fixed_zero,256,481861,481870,1.0000186775854447,0.006822699913755059
canterbury,plrabn12.txt,asbx_fixed_zero_trim,256,481861,481870,1.0000186775854447,0.015148899983614683
canterbury,plrabn12.txt,asbx_fixed_one_gaps,256,481861,481870,1.0000186775854447,3.861261200043373
canterbury,plrabn12.txt,asbx_fixed_zero_gaps,256,481861,481870,1.0000186775854447,5.459003999945708
canterbury,plrabn12.txt,zlib_9,,481861,194332,0.4032947260724566,0.06671010004356503
canterbury,plrabn12.txt,bzip2_9,,481861,145577,0.30211409514362025,0.05471640010364354
canterbury,plrabn12.txt,lzma_9,,481861,165412,0.3432774181766111,0.3609687000280246
canterbury,ptt5,asbx_oracle,256,513216,198135,0.3860655162738496,4.41760270006489
canterbury,ptt5,asbx_deterministic,256,513216,198897,0.3875502712308268,1.3445861999643967
canterbury,ptt5,asbx_fixed_raw,256,513216,513225,1.0000175364758699,0.017843700014054775
canterbury,ptt5,asbx_fixed_zero,256,513216,435167,0.8479217327596957,0.012513899942860007
canterbury,ptt5,asbx_fixed_zero_trim,256,513216,320576,0.6246414764933284,0.07686589995864779
canterbury,ptt5,asbx_fixed_one_gaps,256,513216,217408,0.4236189051003866,1.9965364000527188
canterbury,ptt5,asbx_fixed_zero_gaps,256,513216,513225,1.0000175364758699,8.038296299986541
canterbury,ptt5,zlib_9,,513216,52221,0.10175247848858959,0.10053179995156825
canterbury,ptt5,bzip2_9,,513216,49759,0.09695527808953736,0.015610399888828397
canterbury,ptt5,lzma_9,,513216,41992,0.081821299413892,0.18476890004239976
canterbury,sum,asbx_oracle,256,38240,35943,0.9399320083682008,0.40549410006497055
canterbury,sum,asbx_deterministic,256,38240,37317,0.975862970711297,0.07191599998623133
canterbury,sum,asbx_fixed_raw,256,38240,38249,1.0002353556485355,0.0015307000139728189
canterbury,sum,asbx_fixed_zero,256,38240,38249,1.0002353556485355,0.0016421000473201275
canterbury,sum,asbx_fixed_zero_trim,256,38240,38249,1.0002353556485355,0.0021077999845147133
canterbury,sum,asbx_fixed_one_gaps,256,38240,35977,0.940821129707113,0.2729523000307381
canterbury,sum,asbx_fixed_zero_gaps,256,38240,38249,1.0002353556485355,0.5290606999769807
canterbury,sum,zlib_9,,38240,12838,0.33572175732217574,0.015174000058323145
canterbury,sum,bzip2_9,,38240,12909,0.3375784518828452,0.0048834000481292605
canterbury,sum,lzma_9,,38240,9452,0.24717573221757322,0.05997150007169694
canterbury,xargs.1,asbx_oracle,256,4227,4235,1.001892595221197,0.03788429999258369
canterbury,xargs.1,asbx_deterministic,256,4227,4235,1.001892595221197,0.004643000080250204
canterbury,xargs.1,asbx_fixed_raw,256,4227,4235,1.001892595221197,0.0001762000611051917
canterbury,xargs.1,asbx_fixed_zero,256,4227,4235,1.001892595221197,0.00010030006524175406
canterbury,xargs.1,asbx_fixed_zero_trim,256,4227,4235,1.001892595221197,0.00019669998437166214
canterbury,xargs.1,asbx_fixed_one_gaps,256,4227,4235,1.001892595221197,0.03430080006364733
canterbury,xargs.1,asbx_fixed_zero_gaps,256,4227,4235,1.001892595221197,0.04294569999910891
canterbury,xargs.1,zlib_9,,4227,1736,0.41069316299976344,0.0002704999642446637
canterbury,xargs.1,bzip2_9,,4227,1762,0.4168440974686539,0.0011062000412493944
canterbury,xargs.1,lzma_9,,4227,1812,0.42867281760113557,0.03132710000500083
silesia_sample,dickens,asbx_oracle,256,65536,65545,1.0001373291015625,0.7029004000360146
silesia_sample,dickens,asbx_deterministic,256,65536,65545,1.0001373291015625,0.07583260000683367
silesia_sample,dickens,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0025770999491214752
silesia_sample,dickens,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0014606999466195703
silesia_sample,dickens,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.0035679000429809093
silesia_sample,dickens,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.5242378999246284
silesia_sample,dickens,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.6536647999892011
silesia_sample,dickens,zlib_9,,65536,26196,0.39971923828125,0.006605600006878376
silesia_sample,dickens,bzip2_9,,65536,22689,0.3462066650390625,0.0071316000539809465
silesia_sample,dickens,lzma_9,,65536,24380,0.37200927734375,0.054904500022530556
silesia_sample,mozilla,asbx_oracle,256,65536,43691,0.6666717529296875,0.6551409000530839
silesia_sample,mozilla,asbx_deterministic,256,65536,44348,0.67669677734375,0.11357380007393658
silesia_sample,mozilla,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0027307000709697604
silesia_sample,mozilla,asbx_fixed_zero,256,65536,50124,0.76483154296875,0.0023375999880954623
silesia_sample,mozilla,asbx_fixed_zero_trim,256,65536,48341,0.7376251220703125,0.008153100032359362
silesia_sample,mozilla,asbx_fixed_one_gaps,256,65536,44343,0.6766204833984375,0.3706586000043899
silesia_sample,mozilla,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.8295723999617621
silesia_sample,mozilla,zlib_9,,65536,16967,0.2588958740234375,0.01807280001230538
silesia_sample,mozilla,bzip2_9,,65536,15715,0.2397918701171875,0.008060999913141131
silesia_sample,mozilla,lzma_9,,65536,12084,0.18438720703125,0.05971199995838106
silesia_sample,mr,asbx_oracle,256,65536,45642,0.696441650390625,0.6616117999656126
silesia_sample,mr,asbx_deterministic,256,65536,48135,0.7344818115234375,0.09249860001727939
silesia_sample,mr,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0021738000214099884
silesia_sample,mr,asbx_fixed_zero,256,65536,51923,0.7922821044921875,0.0021208999678492546
