domain,dataset,file,method,original_bytes,encoded_bytes,ratio,blocks_raw,blocks_zero,blocks_zero_trim,blocks_one_gaps,blocks_zero_gaps,blocks_one_runs,blocks_nonzero_bytes
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_zero_gaps,271245,271254,1.0000331803351215,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_one_runs,271245,18134,0.06685468856568785,0,0,0,32,0,892,136
sparse_matrix_pattern,SuiteSparse_HB_bcsstk_confirmation,bcsstk12.smb,fixed_nonzero_bytes,271245,22571,0.08321259378053052,0,0,0,32,0,892,136
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,legacy_oracle,784016,707968,0.9030019795514377,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,extended_oracle,784016,504910,0.6440047141895063,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_raw,784016,784025,1.000011479357564,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_zero,784016,784025,1.000011479357564,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_zero_trim,784016,742888,0.9475418869002673,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_one_gaps,784016,741577,0.9458697271484255,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_zero_gaps,784016,784025,1.000011479357564,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_one_runs,784016,678427,0.8653229015734373,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_000.img,fixed_nonzero_bytes,784016,508138,0.6481219771025081,141,1,281,0,0,5,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,legacy_oracle,784016,710829,0.9066511397726577,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,extended_oracle,784016,513551,0.6550261729352462,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_raw,784016,784025,1.000011479357564,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_zero,784016,784025,1.000011479357564,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_zero_trim,784016,743770,0.9486668639415522,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_one_gaps,784016,745746,0.951187220668966,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_zero_gaps,784016,784025,1.000011479357564,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_one_runs,784016,685546,0.8744030734066651,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_001.img,fixed_nonzero_bytes,784016,516523,0.6588169118997571,153,0,320,0,0,4,2586
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,legacy_oracle,784016,714903,0.9118474622966878,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,extended_oracle,784016,514764,0.6565733352380564,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_raw,784016,784025,1.000011479357564,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_zero,784016,784025,1.000011479357564,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_zero_trim,784016,745043,0.9502905552947899,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_one_gaps,784016,749273,0.9556858533499316,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_zero_gaps,784016,784025,1.000011479357564,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_one_runs,784016,688482,0.8781478949409196,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_002.img,fixed_nonzero_bytes,784016,517852,0.6605120303667272,147,0,310,0,0,12,2594
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,legacy_oracle,784016,707753,0.9027277504540724,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,extended_oracle,784016,502965,0.6415238974714802,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_raw,784016,784025,1.000011479357564,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_zero,784016,784025,1.000011479357564,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_zero_trim,784016,741596,0.9458939613477276,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_one_gaps,784016,743484,0.9483020754678476,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_zero_gaps,784016,784025,1.000011479357564,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_one_runs,784016,679644,0.8668751658129425,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_003.img,fixed_nonzero_bytes,784016,506416,0.6459255933552377,135,1,312,0,0,15,2600
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,legacy_oracle,784016,708568,0.9037672700557131,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,extended_oracle,784016,505816,0.6451603028509623,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_raw,784016,784025,1.000011479357564,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_zero,784016,784025,1.000011479357564,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_zero_trim,784016,741939,0.9463314524193384,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_one_gaps,784016,743444,0.9482510561008959,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_zero_gaps,784016,784025,1.000011479357564,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_one_runs,784016,680372,0.8678037182914634,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_004.img,fixed_nonzero_bytes,784016,508883,0.6490722128119835,125,3,290,0,0,10,2635
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,legacy_oracle,784016,706549,0.9011920675088263,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,extended_oracle,784016,505406,0.6446373543397074,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_raw,784016,784025,1.000011479357564,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_zero,784016,784025,1.000011479357564,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_zero_trim,784016,739728,0.9435113569110835,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_one_gaps,784016,741385,0.9456248341870575,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_zero_gaps,784016,784025,1.000011479357564,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_one_runs,784016,678032,0.8648190853247892,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_005.img,fixed_nonzero_bytes,784016,508654,0.648780126936185,149,6,294,1,0,10,2603
grayscale_image_tensor,kmnist_confirmation,kmnist_test_006.img,legacy_oracle,784016,706394,0.9009943674618885,153,3,339,0,0,13,2555
grayscale_image_tensor,kmnist_confirmation,kmnist_test_006.img,extended_oracle,784016,504493,0.6434728372890349,153,3,339,0,0,13,2555
grayscale_image_tensor,kmnist_confirmation,kmnist_test_006.img,fixed_raw,784016,784025,1.000011479357564,153,3,339,0,0,13,2555
