domain,dataset,file,transform,downstream_codec,original_bytes,transform_bytes,final_bytes,final_ratio,transform_encode_seconds,downstream_encode_seconds,downstream_decode_seconds,transform_decode_seconds
grayscale_image_tensor,mnist,mnist_test_001.img,raw,bzip2_9,784016,784016,141634,0.18065192547090875,1.4998950064182281e-06,0.017223300063051283,0.011313099996186793,0.00010819989256560802
grayscale_image_tensor,mnist,mnist_test_001.img,raw,lzma_9,784016,784016,138388,0.17651170384277873,1.4998950064182281e-06,0.23738940001931041,0.0088361999951303,0.0001156999496743083
grayscale_image_tensor,mnist,mnist_test_001.img,asbx_deterministic,zlib_9,784016,505558,171459,0.21869324095426623,0.7110026999143884,0.1866238999646157,0.001711399992927909,0.048966399976052344
grayscale_image_tensor,mnist,mnist_test_001.img,asbx_deterministic,bzip2_9,784016,505558,155800,0.1987204342768515,0.7110026999143884,0.018328400095924735,0.011896500014699996,0.050228499923832715
grayscale_image_tensor,mnist,mnist_test_001.img,asbx_deterministic,lzma_9,784016,505558,155124,0.19785820697536785,0.7110026999143884,0.1951549999648705,0.009734599967487156,0.05360189999919385
grayscale_image_tensor,mnist,mnist_test_001.img,asbx_oracle,zlib_9,784016,494835,177215,0.22603492785861512,3.673119999933988,0.21136980003211647,0.0019352000672370195,0.09743630001321435
grayscale_image_tensor,mnist,mnist_test_001.img,asbx_oracle,bzip2_9,784016,494835,160793,0.20508892675659682,3.673119999933988,0.019094599992968142,0.012090899981558323,0.10454460000619292
grayscale_image_tensor,mnist,mnist_test_001.img,asbx_oracle,lzma_9,784016,494835,160108,0.20421522009754903,3.673119999933988,0.19152049999684095,0.010336500010453165,0.10054480005055666
grayscale_image_tensor,mnist,mnist_test_002.img,raw,zlib_9,784016,784016,158199,0.2017803208097794,8.00006091594696e-07,0.21851209993474185,0.0019900999031960964,7.259997073560953e-05
grayscale_image_tensor,mnist,mnist_test_002.img,raw,bzip2_9,784016,784016,142781,0.1821149058182486,8.00006091594696e-07,0.017726700054481626,0.010735900024883449,0.00013910001143813133
grayscale_image_tensor,mnist,mnist_test_002.img,raw,lzma_9,784016,784016,139456,0.17787392094038898,8.00006091594696e-07,0.23446459998376667,0.010207100072875619,7.579999510198832e-05
grayscale_image_tensor,mnist,mnist_test_002.img,asbx_deterministic,zlib_9,784016,509128,172572,0.22011285483969714,0.6794146000174806,0.18783329997677356,0.0018139000749215484,0.045819299994036555
grayscale_image_tensor,mnist,mnist_test_002.img,asbx_deterministic,bzip2_9,784016,509128,156738,0.19991683843186875,0.6794146000174806,0.01886079995892942,0.011441500042565167,0.04774800001177937
grayscale_image_tensor,mnist,mnist_test_002.img,asbx_deterministic,lzma_9,784016,509128,155808,0.19873063815024183,0.6794146000174806,0.1959465000545606,0.009370799991302192,0.047244600020349026
grayscale_image_tensor,mnist,mnist_test_002.img,asbx_oracle,zlib_9,784016,499446,178322,0.2274468888390033,3.7541388999670744,0.22706730000209063,0.002051600022241473,0.11268090002704412
grayscale_image_tensor,mnist,mnist_test_002.img,asbx_oracle,bzip2_9,784016,499446,161584,0.20609783473806656,3.7541388999670744,0.02291719999630004,0.011905200080946088,0.10583010001573712
grayscale_image_tensor,mnist,mnist_test_002.img,asbx_oracle,lzma_9,784016,499446,160840,0.20514887451276503,3.7541388999670744,0.20877579995431006,0.011701799929141998,0.1390254000434652
grayscale_image_tensor,mnist,mnist_test_003.img,raw,zlib_9,784016,784016,158876,0.20264382359543684,6.00004568696022e-07,0.2637365000555292,0.0024996999418362975,6.610003765672445e-05
grayscale_image_tensor,mnist,mnist_test_003.img,raw,bzip2_9,784016,784016,143685,0.18326794351135692,6.00004568696022e-07,0.025587599957361817,0.013341400073841214,5.010003224015236e-05
grayscale_image_tensor,mnist,mnist_test_003.img,raw,lzma_9,784016,784016,140144,0.17875145405195814,6.00004568696022e-07,0.26769160002004355,0.012342100031673908,0.00012729992158710957
grayscale_image_tensor,mnist,mnist_test_003.img,asbx_deterministic,zlib_9,784016,508110,173638,0.2214725209689598,0.788484700024128,0.19603849994018674,0.0019711999921128154,0.05418800003826618
grayscale_image_tensor,mnist,mnist_test_003.img,asbx_deterministic,bzip2_9,784016,508110,157361,0.20071146507214138,0.788484700024128,0.020094700041227043,0.016475900076329708,0.05642189993523061
grayscale_image_tensor,mnist,mnist_test_003.img,asbx_deterministic,lzma_9,784016,508110,156752,0.19993469521030183,0.788484700024128,0.20323400001507252,0.010494600050151348,0.05251269997097552
grayscale_image_tensor,mnist,mnist_test_003.img,asbx_oracle,zlib_9,784016,497796,179424,0.22885247239852247,4.145265100058168,0.23335979995317757,0.0019064999651163816,0.12133039999753237
grayscale_image_tensor,mnist,mnist_test_003.img,asbx_oracle,bzip2_9,784016,497796,162887,0.20775979061651803,4.145265100058168,0.0223087000194937,0.020533100003376603,0.12592010002117604
grayscale_image_tensor,mnist,mnist_test_003.img,asbx_oracle,lzma_9,784016,497796,161888,0.20648558192689945,4.145265100058168,0.2487764999968931,0.012356800027191639,0.11634159996174276
grayscale_image_tensor,mnist,mnist_test_004.img,raw,zlib_9,784016,784016,155196,0.1979500418358809,1.200009137392044e-06,0.22531710006296635,0.002243999973870814,7.979990914463997e-05
grayscale_image_tensor,mnist,mnist_test_004.img,raw,bzip2_9,784016,784016,140049,0.17863028305544784,1.200009137392044e-06,0.0185914000030607,0.011880100006237626,0.00034579995553940535
grayscale_image_tensor,mnist,mnist_test_004.img,raw,lzma_9,784016,784016,136700,0.1743586865574172,1.200009137392044e-06,0.2663197999354452,0.009573499904945493,0.0001227000029757619
grayscale_image_tensor,mnist,mnist_test_004.img,asbx_deterministic,zlib_9,784016,505707,170282,0.2171919960817126,0.801593599957414,0.19831410003826022,0.0017730999970808625,0.05821250006556511
grayscale_image_tensor,mnist,mnist_test_004.img,asbx_deterministic,bzip2_9,784016,505707,153809,0.1961809452868309,0.801593599957414,0.021404400002211332,0.016037800000049174,0.05901430000085384
grayscale_image_tensor,mnist,mnist_test_004.img,asbx_deterministic,lzma_9,784016,505707,153560,0.1958633497275566,0.801593599957414,0.24402780004311353,0.011929200030863285,0.07091699994634837
grayscale_image_tensor,mnist,mnist_test_004.img,asbx_oracle,zlib_9,784016,496139,175473,0.22381303442786882,3.829522200045176,0.21162349998485297,0.0019235999789088964,0.09973179991357028
grayscale_image_tensor,mnist,mnist_test_004.img,asbx_oracle,bzip2_9,784016,496139,158889,0.20266040488969614,3.829522200045176,0.0206698999973014,0.012076799990609288,0.1029014999512583
grayscale_image_tensor,mnist,mnist_test_004.img,asbx_oracle,lzma_9,784016,496139,158112,0.20166935368665945,3.829522200045176,0.18584319995716214,0.00979029992595315,0.10871580010280013
grayscale_image_tensor,mnist,mnist_test_005.img,raw,zlib_9,784016,784016,161967,0.20658634517662905,7.00005330145359e-07,0.22389489994384348,0.002447800012305379,6.370001938194036e-05
grayscale_image_tensor,mnist,mnist_test_005.img,raw,bzip2_9,784016,784016,143161,0.1825995898042897,7.00005330145359e-07,0.017716200090944767,0.011158500099554658,0.00011849997099488974
grayscale_image_tensor,mnist,mnist_test_005.img,raw,lzma_9,784016,784016,141492,0.18047080671823024,7.00005330145359e-07,0.22408850002102554,0.008838800014927983,0.00010830000974237919
grayscale_image_tensor,mnist,mnist_test_005.img,asbx_deterministic,zlib_9,784016,520323,174005,0.2219406236607416,0.6344311999855563,0.1995841000461951,0.0019245999865233898,0.03499870002269745
grayscale_image_tensor,mnist,mnist_test_005.img,asbx_deterministic,bzip2_9,784016,520323,155756,0.19866431297320464,0.6344311999855563,0.01901169994380325,0.01155199995264411,0.03606339998077601
grayscale_image_tensor,mnist,mnist_test_005.img,asbx_deterministic,lzma_9,784016,520323,155776,0.19868982265668048,0.6344311999855563,0.19608329993207008,0.00965989998076111,0.03928340005222708
grayscale_image_tensor,mnist,mnist_test_005.img,asbx_oracle,zlib_9,784016,510539,179902,0.22946215383359522,3.873562299995683,0.21212489996105433,0.0019104999955743551,0.08918200002517551
grayscale_image_tensor,mnist,mnist_test_005.img,asbx_oracle,bzip2_9,784016,510539,160451,0.2046527111691598,3.873562299995683,0.020357800065539777,0.01265150005929172,0.08593409997411072
