split,scenario,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds
train,dense_bits_99,dense_bits_99.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0012299000518396497,2.1600048057734966e-05
train,dense_bits_99,dense_bits_99.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0006824999582022429,4.439998883754015e-05
train,dense_bits_99,dense_bits_99.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.001515899901278317,1.7000013031065464e-05
train,dense_bits_99,dense_bits_99.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.5387766999192536,1.2999982573091984e-05
train,dense_bits_99,dense_bits_99.bin,fixed_zero_gaps,256,32768,3924,0.1197509765625,0.0807251000078395,0.005789000075310469
train,random,random.bin,oracle,256,32768,32777,1.000274658203125,0.29639699996914715,1.2699980288743973e-05
train,random,random.bin,deterministic,256,32768,32777,1.000274658203125,0.03490970004349947,1.650000922381878e-05
train,random,random.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001031199935823679,8.00006091594696e-06
train,random,random.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0006125000072643161,6.800051778554916e-06
train,random,random.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0015263999812304974,7.70005863159895e-06
train,random,random.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.24810640001669526,1.5600002370774746e-05
train,random,random.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.24030730000231415,1.5700003132224083e-05
train,sparse_bits_001,sparse_bits_001.bin,oracle,256,32768,1074,0.03277587890625,0.2541212000651285,0.0017979000695049763
train,sparse_bits_001,sparse_bits_001.bin,deterministic,256,32768,1106,0.03375244140625,0.08517790003679693,0.0017779000336304307
train,sparse_bits_001,sparse_bits_001.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0013349000364542007,1.6700010746717453e-05
train,sparse_bits_001,sparse_bits_001.bin,fixed_zero,256,32768,26996,0.8238525390625,0.0010602000402286649,0.0006997999735176563
train,sparse_bits_001,sparse_bits_001.bin,fixed_zero_trim,256,32768,9827,0.299896240234375,0.004721499979496002,0.0012185999657958746
train,sparse_bits_001,sparse_bits_001.bin,fixed_one_gaps,256,32768,1099,0.033538818359375,0.07273020001593977,0.0015640000347048044
train,sparse_bits_001,sparse_bits_001.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4676120999502018,1.4299992471933365e-05
train,sparse_bits_01,sparse_bits_01.bin,oracle,256,32768,3995,0.121917724609375,0.27320180006790906,0.005082799936644733
train,sparse_bits_01,sparse_bits_01.bin,deterministic,256,32768,3995,0.121917724609375,0.12764630001038313,0.006560400011949241
train,sparse_bits_01,sparse_bits_01.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0012247000122442842,1.0699965059757233e-05
